,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_asset_value,loan_status
181,0,1,1,13.710150042306449,14.603967918328545,16,566,15.03928598958639,1
182,0,0,0,14.845129975145433,16.108045315104818,8,742,16.496532086678563,1
183,2,0,0,15.830413578506539,16.955343175492022,4,824,17.889652412868855,1
184,4,1,0,14.151982794585487,14.946912669455374,14,575,16.249123913364723,1
185,2,1,1,15.150511624696614,16.204273347199372,10,766,16.671980764184756,1
186,1,0,1,14.346138809026444,15.424948470398375,10,888,16.12804598181149,1
187,3,1,1,16.012735135300492,17.22995316637645,6,638,17.972829919347763,1
188,5,0,1,15.80338490611862,16.963963918535928,6,622,17.83369375922081,1
189,1,0,0,15.816990558174398,16.801192495664765,18,458,17.73748389424559,0
190,1,0,0,16.012735135300492,17.15483253590834,16,327,17.48418730476069,0
191,0,0,0,14.914122846632385,15.687312734865866,2,612,16.84080163375981,1
192,1,1,0,13.592367006650065,14.880221294956703,8,682,15.747031969567487,1
193,2,1,0,15.38412647587812,16.3957273875566,2,583,17.347736202032834,1
194,5,0,0,15.671808548329901,16.722411617811648,8,697,17.49686174565742,1
195,3,1,0,16.034714042019267,17.11504428584993,12,306,17.82102390647976,0
196,4,0,1,12.89921982609012,14.22097566607244,2,669,14.457364444136669,1
197,2,0,0,14.845129975145433,15.60727002719233,18,816,16.90199719478673,1
198,4,0,1,15.955576721460545,17.17935215308266,20,455,17.783913896828526,0
199,3,1,1,15.363073066680286,16.612791892794426,10,318,17.50439001207821,0
200,4,0,1,16.0978929436408,16.869511739642242,20,355,18.160613838533557,0
201,2,0,1,15.150511624696614,16.00156183470237,16,389,16.821193162371433,0
202,2,1,0,13.122363377404328,14.22097566607244,2,888,15.176487111099874,1
203,2,1,1,15.747031969567487,16.562781472219765,6,352,17.74537348152075,0
204,4,0,1,16.077273656438063,17.220035729719104,12,870,17.74340691254871,1
205,3,0,0,14.880221294956703,15.687312734865866,18,827,16.929025867174648,1
206,2,1,0,16.0978929436408,16.855259716935038,12,768,17.999086253914317,1
207,0,1,0,15.775605342011543,16.549878067383858,18,707,17.654962870557586,1
208,1,0,1,15.856730886823913,16.76519889301686,10,355,17.615484059583796,0
209,3,1,0,14.151982794585487,15.009433026436708,2,652,15.84365880525656,1
210,3,1,0,15.86963429165982,16.58182966719046,2,665,17.684626062381145,1
211,5,0,1,14.346138809026444,15.60727002719233,18,420,15.907374619642667,0
212,2,0,0,15.955576721460545,17.302885635867483,18,471,18.040883382592778,0
213,5,0,0,14.457364444136669,15.830413578506539,20,715,16.660419941783683,1
214,2,0,1,15.717618084361195,16.536805985816503,10,689,17.216707939626428,1
215,3,1,1,15.747031969567487,16.612791892794426,4,787,17.674132786665304,1
216,2,1,0,14.77102200299171,15.86963429165982,4,819,16.496532086678563,1
217,4,1,1,16.077273656438063,16.864783598446294,6,809,18.049617062561534,1
218,1,0,1,15.732433170146335,16.64872390202049,2,744,17.657111099095875,1
219,0,0,0,14.978661367769956,16.240313283682568,6,484,16.791040124200745,0
220,4,0,0,14.880221294956703,16.1573163641116,6,673,16.76519889301686,1
221,3,1,1,15.88237331743725,16.869511739642242,18,695,17.74929505517393,1
222,4,0,1,15.176487111099874,16.333207030575267,12,473,17.14771506813948,0
223,4,1,1,15.341566861459324,16.213405830762646,2,491,17.299822846336937,0
224,3,0,1,13.458835614025542,14.346138809026444,8,733,15.404745763080856,1
225,0,0,0,15.464169183551656,16.562781472219765,20,434,17.588271496058912,0
226,3,0,1,15.590462908875947,16.84080163375981,10,777,17.344807942253745,1
227,4,1,0,15.789591583986283,16.76519889301686,4,774,17.450461670052654,1
228,1,0,1,15.978833583624812,17.111347423968603,10,717,17.921454256029726,1
229,3,0,1,13.9108207377686,15.068273526459642,12,503,15.732433170146335,0
230,1,1,1,15.201804919084164,16.204273347199372,14,598,17.15483253590834,1
231,2,1,0,16.0978929436408,17.293668980762558,2,543,18.134331116734362,1
232,0,0,1,14.808762330974558,15.732433170146335,20,796,16.440179150127435,1
233,3,0,1,15.990262279448435,17.359364240027954,8,386,17.835490704897513,0
234,5,0,1,15.009433026436708,15.86963429165982,16,632,16.860032995687696,1
235,1,1,1,15.747031969567487,16.96824658032793,4,481,17.793321303930423,1
236,3,1,1,13.710150042306449,15.068273526459642,4,770,15.009433026436708,0
237,3,1,1,15.226497531674536,16.556350581889475,6,667,16.955343175492022,1
238,3,0,1,15.363073066680286,16.67771143889374,8,585,16.749367427800177,1
239,5,1,1,15.03928598958639,16.266515656076592,16,479,17.16541464523888,0
240,2,1,0,16.077273656438063,16.929025867174648,18,851,17.919805451039544,1
241,3,0,1,15.761420707019587,16.600521800202614,6,378,17.882826447798454,0
242,5,1,0,15.555976732804778,16.3727378693319,18,807,17.18624873214172,1
243,1,0,1,15.919644712234481,17.293668980762558,18,831,17.919805451039544,1
244,2,0,0,14.557447902693651,15.444751097694555,12,674,16.46875252257149,1
245,1,0,1,15.89495209964411,17.151280134303974,18,725,17.62660764480246,1
246,2,0,0,15.89495209964411,17.193098073987297,4,600,17.999086253914317,1
247,0,0,1,16.056220247240233,17.111347423968603,10,536,17.615484059583796,0
248,0,1,0,15.943742263813542,16.84080163375981,10,477,17.50188688186009,0
249,1,0,1,14.457364444136669,15.424948470398375,6,560,16.176364559082295,1
250,0,0,1,15.250595083253597,16.612791892794426,20,539,17.077445872292923,0
251,5,1,0,14.77102200299171,16.02378497148708,8,852,16.70588231586044,1
252,3,0,0,15.123843377614453,15.955576721460545,20,853,17.088874568116545,1
253,0,1,0,15.990262279448435,17.246266741867974,12,729,17.49181122987135,1
254,2,0,0,14.557447902693651,15.363073066680286,2,546,16.612791892794426,0
255,3,1,1,13.710150042306449,14.690979295318174,10,489,15.226497531674536,0
256,3,1,1,16.0978929436408,17.382222378104004,6,869,17.972829919347763,1
257,2,0,0,15.89495209964411,16.811242831518264,2,502,17.682536197461683,0
258,0,1,0,16.0978929436408,17.4739308045935,8,652,18.163204513557652,1
259,0,0,1,12.611537753638338,13.9108207377686,8,789,14.346138809026444,1
260,4,0,0,14.808762330974558,15.907374619642667,4,325,16.76519889301686,1
261,3,1,1,15.816990558174398,16.791040124200745,2,716,17.65065251905646,1
262,3,1,0,16.034714042019267,17.35065591213617,18,523,18.02763815584276,0
263,5,0,0,16.06680235657077,16.915602846842507,20,352,17.94747198375768,0
264,5,1,1,15.150511624696614,16.48273876454623,2,345,16.897420527759316,1
265,0,1,0,15.931766072766827,16.780783624033557,18,649,17.808191466409873,1
266,2,1,1,14.845129975145433,15.816990558174398,18,666,16.308716010566968,1
267,0,1,0,15.967272761223736,16.855259716935038,10,813,17.80449460452855,1
268,0,0,0,15.501909511534503,16.636889444373487,10,599,17.365127944744703,1
269,5,1,1,15.250595083253597,16.056220247240233,6,678,17.065885049891847,1
270,5,0,0,15.464169183551656,16.316946509703484,20,513,17.442514608360124,0
271,5,1,0,16.056220247240233,17.144137246791594,4,870,17.533948814319753,1
272,3,1,0,15.990262279448435,16.831045458814444,8,483,17.815544440715133,0
273,1,1,1,15.590462908875947,16.630919277386983,16,308,17.47907220409392,0
274,3,1,1,14.346138809026444,15.404745763080856,16,591,16.249123913364723,1
275,1,0,0,15.761420707019587,16.951004773893423,10,886,17.686711568872166,1
276,4,0,0,14.346138809026444,15.201804919084164,6,829,15.955576721460545,1
277,0,0,0,14.22097566607244,15.404745763080856,12,651,16.0978929436408,1
278,4,0,0,14.508657738524219,15.363073066680286,18,733,16.660419941783683,1
279,5,1,1,15.176487111099874,16.556350581889475,12,433,17.126053571358298,0
280,1,1,1,13.710150042306449,15.096444403426338,14,713,15.483217378522351,1
281,1,1,0,15.747031969567487,16.929025867174648,18,403,17.293668980762558,0
282,0,1,1,14.845129975145433,15.86963429165982,10,405,16.850463544671545,0
283,3,1,1,15.732433170146335,16.80623028969472,10,516,17.84975119611667,0
284,4,0,1,13.304684934198283,14.403297222866392,8,417,15.424948470398375,0
285,1,0,0,15.363073066680286,16.454567887579532,6,468,17.158372362613466,0
286,5,1,1,14.914122846632385,16.283610089435893,10,672,17.081269968731327,1
287,5,0,0,15.201804919084164,16.44739939810092,6,530,17.220035729719104,0
288,1,0,1,14.946912669455374,16.240313283682568,14,824,17.038378404102012,1
289,1,0,1,15.856730886823913,17.054189010128656,12,549,17.84442731486392,0
290,5,0,1,15.27412558066379,16.045524958123483,10,450,16.946647468524468,0
291,1,1,1,15.573368475516649,16.785925023533974,20,431,17.445170652418238,0
292,3,1,1,15.096444403426338,16.185754299432134,16,312,16.915602846842507,0
293,0,0,1,14.880221294956703,15.84365880525656,8,320,17.085079497147994,0
294,0,1,0,15.990262279448435,16.821193162371433,4,433,17.96023132751144,0
295,1,0,1,12.611537753638338,13.815510557964274,10,431,14.457364444136669,0
296,5,0,1,15.967272761223736,17.17935215308266,8,516,17.701189588052817,0
297,2,0,1,15.068273526459642,16.300417207752275,14,476,16.95966283663654,0
298,5,1,0,13.592367006650065,14.77102200299171,6,560,15.27412558066379,1
299,2,1,0,15.89495209964411,17.11504428584993,12,674,17.654962870557586,1
300,0,0,1,16.108045315104818,17.458346073576802,6,573,17.78956895431187,1
301,2,0,0,15.009433026436708,15.702580206996654,6,331,16.80623028969472,0
302,4,1,1,14.508657738524219,15.717618084361195,12,633,15.856730886823913,1
303,3,0,0,15.404745763080856,16.3727378693319,18,877,17.216707939626428,1
304,5,0,1,16.034714042019267,16.97675726999584,12,656,17.802641035879226,1
305,0,0,0,15.830413578506539,16.716932152047026,6,782,17.58366319297272,1
306,5,0,0,16.012735135300492,17.193098073987297,4,531,17.929657747482555,1
307,3,0,0,14.151982794585487,15.226497531674536,8,455,16.056220247240233,0
308,3,1,0,16.077273656438063,16.80623028969472,14,452,17.831893578716663,0
309,2,1,0,15.943742263813542,17.318060433886718,14,474,18.085208007664235,0
310,3,0,0,15.671808548329901,17.01009369026343,4,483,17.335971360453247,1
311,4,1,0,15.590462908875947,16.636889444373487,8,481,17.531518679466462,0
312,2,1,1,14.603967918328545,15.444751097694555,20,859,16.489659207390805,1
313,4,1,1,15.538277155705378,16.461685355348397,14,696,17.541203985200926,1
314,4,0,0,16.0978929436408,17.17240768072985,6,778,17.986816161322505,1
315,4,1,0,15.29711509888849,16.496532086678563,4,499,17.20328491929429,1
316,2,0,1,14.690979295318174,15.404745763080856,4,888,16.77042083699801,1
317,1,1,0,15.29711509888849,16.195056692094447,12,674,17.365127944744703,1
318,4,1,0,15.123843377614453,16.3957273875566,4,802,17.182806387950748,1
319,4,0,1,14.648419680899378,15.86963429165982,8,540,16.333207030575267,0
320,4,1,1,15.590462908875947,16.791040124200745,8,726,17.772506929035153,1
321,4,0,1,15.671808548329901,16.972510979114386,2,485,17.43985149094064,1
322,4,1,1,15.404745763080856,16.654589021472887,6,612,17.305939073354374,1
323,3,0,1,16.06680235657077,17.001863191126915,8,879,17.899804784332872,1
324,2,0,0,15.555976732804778,16.612791892794426,12,708,16.98938901690174,1
325,2,0,1,14.808762330974558,15.555976732804778,8,850,16.946647468524468,1
326,2,0,1,15.176487111099874,16.240313283682568,12,516,16.711422496236054,0
327,0,0,0,15.86963429165982,17.175885945106174,12,465,17.69501037168686,0
328,0,1,0,13.9108207377686,14.978661367769956,20,716,15.931766072766827,1
329,4,0,0,12.206072645530174,13.304684934198283,10,404,13.122363377404328,0
330,0,0,1,15.363073066680286,16.176364559082295,20,512,17.27182723884751,0
331,3,0,1,15.919644712234481,16.84080163375981,10,441,17.95387200560315,0
332,2,0,1,15.341566861459324,16.727861222579214,2,555,17.16541464523888,1
333,5,0,0,14.403297222866392,15.761420707019587,18,466,16.349207371921707,0
334,3,1,1,14.978661367769956,15.967272761223736,2,427,16.67771143889374,0
335,4,0,1,15.520258650202699,16.811242831518264,14,593,17.5673648112396,1
336,3,1,0,15.88237331743725,16.722411617811648,10,731,17.458346073576802,1
337,1,1,1,15.201804919084164,16.12804598181149,16,451,17.18624873214172,0
338,3,0,1,15.732433170146335,16.642824179893303,18,628,17.034386382832476,1
339,1,0,0,14.808762330974558,16.056220247240233,18,704,16.612791892794426,1
340,2,0,0,15.732433170146335,16.972510979114386,12,341,17.802641035879226,0
341,5,1,0,15.967272761223736,16.860032995687696,8,465,17.840862248699423,0
342,4,1,0,15.89495209964411,17.220035729719104,4,431,17.840862248699423,1
343,1,1,1,15.123843377614453,16.349207371921707,10,424,17.038378404102012,0
344,0,1,0,14.77102200299171,15.444751097694555,14,678,16.195056692094447,1
345,4,1,0,15.250595083253597,16.636889444373487,6,381,17.344807942253745,0
346,5,1,1,15.89495209964411,17.14771506813948,10,449,17.53637305793126,0
347,1,0,0,15.775605342011543,16.972510979114386,12,768,17.690869579020827,1
348,0,0,0,14.508657738524219,15.761420707019587,6,666,15.747031969567487,0
349,4,0,1,15.573368475516649,16.40327459319198,14,742,17.701189588052817,1
350,3,0,1,15.717618084361195,16.575520497997196,4,445,17.53637305793126,0
351,2,1,0,15.80338490611862,17.17240768072985,14,634,17.54601168676903,1
352,4,0,0,15.009433026436708,16.08763644347361,14,782,16.530205301785152,1
353,0,1,0,14.914122846632385,15.761420707019587,10,781,16.915602846842507,1
354,4,0,0,15.88237331743725,16.660419941783683,14,318,17.83907493812533,0
355,5,0,0,15.84365880525656,16.997722398460883,18,721,17.96655046386292,1
356,5,0,0,15.123843377614453,16.0978929436408,4,563,17.175885945106174,1
357,2,0,0,15.943742263813542,17.085079497147994,4,419,18.008191020907237,1
358,0,1,1,15.919644712234481,16.850463544671545,14,372,17.376556640568324,0
359,0,0,0,14.880221294956703,16.06680235657077,18,885,16.62491325332677,1
360,1,0,1,16.108045315104818,17.463568017557954,12,596,17.952275836070328,1
361,0,1,0,15.29711509888849,16.461685355348397,2,349,16.791040124200745,1
362,1,0,1,16.012735135300492,17.287477010514635,16,468,17.916499662905043,0
363,3,0,1,15.732433170146335,17.107636844572067,16,818,17.887950284798325,1
364,2,0,0,15.978833583624812,17.14771506813948,12,543,17.776323727561852,0
